Country,2022
Austria,31443
Belgium,28997
Bulgaria,6523
Cyprus,18873
Croatia,9873
Czech Republic,13656
Denmark,33903
Estonia,15128
Finland,27346
France,24179
Germany,26274
Greece,10050
Hungary,7423
Ireland,30689
Italy,19819
Latvia,11258
Lithuania,11284
Luxembourg,47636
Malta,18940
Netherlands,30824
Poland,10048
Portugal,11824
Romania,6568
Slovakia,9214
Slovenia,18053
Spain,18316
Sweden,27250
